ScreenName,UserName,Closeness_centrality
DrUmeshPrabhu,Dr Umesh Prabhu,1.0
erpawanbjp,Er. Pawan Mishra,1.0
ansinha1,Anand Sinha,1.0
tsemtulku,Tsem Tulku Rinpoche,1.0
LimSofi,Lim So Fi,1.0
KeertiJoshi,Keertivardhan Joshi,1.0
Youdumbmesmart,I don't think so,1.0
DewaNiazai,Dewa Niazai,1.0
Naqvaay,Syeda Elia,1.0
Made49793066,VOLUME#10,1.0
SaikedarnathN,KN Bhagat,1.0
IrshadBhatti336,Irshad Bhatti,1.0
m_azamjamil,Sunny,1.0
MoonisElahi6,Moonis Elahi,1.0
ipoliticsca,iPolitics,1.0
YoursArunav,Arunav Sinha,1.0
AryanDevKala2,मिशन 2019🌷,1.0
KhawajaMAsif,Khawaja M. Asif,1.0
realmqasim,Muhammad Qasim,1.0
dylanskorish,dylan v. skorish,1.0
Maheshsisodia10,Maheshsisodia,1.0
ajaykishore82,Dr Ajay Kishore,1.0
HuberMargarethe,Margaret Huber,1.0
namiashok,Ashok Raut,1.0
anupamverma466,Anupam verma,1.0
TIP_Pradhanjii,Troll Indian Politics,1.0
MrPoll8,Mr.Poll,1.0
MdSamimAktarCh3,Md Samim Aktar Chowdhury,1.0
sakshinews,Sakshi News,1.0
jainnimit,Nimit Jain,1.0
betterpakistan,Ahsan Iqbal,1.0
DrHarshKale,drharshavardhankale,1.0
RedKahina,Яed Kahina,1.0
himanshupicture,Himanshu Sharma,1.0
sharmayogendr22,yogendra kumarsharma,1.0
mashrafsufi,Muhammad Ashraf,1.0
HidayatSafi11,Hidayat Safi,1.0
sidtripathii,Siddhartha Tripathi,1.0
tarundalaya,Tarun Dalaya,1.0
nirmalny,Nirmal Yadav,1.0
sengarlive,Gaurav singh sengar,1.0
SumeetBains,Sumeet Bains,1.0
sanjaycsds,Sanjay Kumar,1.0
iashutoshgpt,ashutosh gupta,1.0
Hihitu76,Himanshu,1.0
thepolicytimes,The Policy Times,1.0
AdriennedeWolfe,Adrienne deWolfe,1.0
Sandeep69131907,Sandeep,1.0
PM_Khan_PM,نگران وزیراعظم 😍,1.0
dr_maheshsharma,Dr. Mahesh Sharma,1.0