ScreenName,UserName,Followers,mentions_count,retweet_user,ratio
StandUp4Brexit,#StandUp4Brexit,1,118,118,236
Public_Citizen,Public Citizen,6,616,616,205
cs00582scs,Cindyseestruth,1,52,52,104
NanwaniDevanshi,Devanshi Nanwani,1,35,35,70
HansdakVijay,Vijay Kumar Hansdak,1,24,24,48
jollyjohri,praveen johri,3,70,70,46
Jagana_JK,Jagana Krishnakumar,3,88,17,35
rakumar2008,Dr. Rakesh kumbhare,1,15,15,30
WW3Info,Third World War Info,1,16,11,27
darfaizanrasool,Faizan Rasool,2,26,26,26
Sathnam,Sathnam Sanghera,5,64,63,25
RWPUSA,Richard W. Painter,12,150,151,25
profwolff,Richard D. Wolff,9,116,116,25
NandOfficial,Nand,1,12,12,24
qlfqasim,QASIM QLF,1,12,12,24
bobcesca_go,Bob Cesca,2,24,24,24
aapomgoyal,Om Parkash Goyal,1,11,11,22
AbdulRehmanSay,Abdul Rehman Shah,1,11,11,22
BeSriSri,శ్రీ శ్రీ,4,43,42,21
abhaykol,Abhay Upadhyay,1,10,10,20
Vikas93974590,Vikas Vicky,1,10,10,20
KFILE,andrew kaczynski,11,106,106,19
phil4gop,DON🇺🇸,3,29,29,19
varunpuri1984,Varun puri,2,18,18,18
RRAMPlc,Red Ribbon,1,9,9,18
nallaganesh,Ganesh 🇮🇳,2,16,16,16
harishravuri7,HBD Darling,7,54,54,15
Harinani_,త్రివిక్రమ్,1,7,7,14
imRahulAggarwal,Rahul Aggarwal,12,85,85,14
WW3Videos,WW3 Videos,1,7,7,14
Sankhlaarvind,Arvind Sankhla,1,6,6,12
newindiafndtion,New India Foundation,2,12,12,12
abhishekINDIAN7,ⒶⒷⒽⒾⓈⒽⒺⓀ Ⓢⓘⓝⓖⓗ,4,25,25,12
Mass_Maharaja,𝗠𝗮𝘀𝘀 ✺ 𝗠𝗮𝗵𝗮𝗿𝗮𝗷𝗮,4,25,25,12
nitramoffl,🅽🅸🆃🆁🅰🅼 #தமிழன்,6,1,67,11
KimTallBear,Kim TallBear,2,11,11,11
ramanajuvva,ramana,1,5,5,10
fasbangalore,FAS,3,16,16,10
OottoOman,Usman Malik,3,15,15,10
PasagadaPRASHAD,💯AGNI 2.O,2,10,10,10
SaikedarnathN,KN Bhagat,1,5,5,10
krporeddy,Kishore Poreddy,4,20,20,10
TheTimesOfAAP,The Times of AAP,7,36,36,10
eJax13,Ejaz Ayoub,2,10,10,10
VivanMarwaha,Vivan Marwaha,1,5,5,10
FCNL,FCNL (Quakers),3,14,14,9
KrushnaSundar,🇮🇳Krushna Sundar,2,9,9,9
ariathak,Aria Thaker,6,27,27,9
ChennaiTdpForum,Chennai TDP Forum⚡,4,16,16,8
MohammedNazirA4,Mohammed Nazir Ahmed,1,4,4,8