ScreenName,UserName,likes
RahulGandhi,Rahul Gandhi,920892
narendramodi,Narendra Modi,425076
danieljpowell,Daniel Powell,307469
realDonaldTrump,Donald J. Trump,256188
ArvindKejriwal,Arvind Kejriwal,184912
ImranKhanPTI,Imran Khan,174703
Swamy39,Subramanian Swamy,161094
AmitShah,Amit Shah,120625
sardesairajdeep,Rajdeep Sardesai,100149
INCIndia,Congress,82745
arunjaitley,Arun Jaitley,75756
sardanarohit,रोहित सरदाना,73510
divyaspandana,Divya Spandana/Ramya,71252
PMOIndia,PMO India,62065
Twitter,Twitter,60554
w_terrence,Terrence K. Williams,51933
TuckerCarlson,Tucker Carlson,50162
ChouhanShivraj,ShivrajSingh Chouhan,48698
benshapiro,Ben Shapiro,45572
CNN,CNN,45250
juliaioffe,Julia Ioffe,41532
virendersehwag,Virender Sehwag,41003
chelseahandler,Chelsea Handler,39887
ZeeNewsHindi,Zee News Hindi,38930
ShefVaidya,Shefali Vaidya,38466
BJP4India,BJP,37695
AKingWasHere,Arek,33710
Shehla_Rashid,Shehla Rashid,30748
priyankac19,Priyanka Chaturvedi,30421
ANI,ANI,30421
ShashiTharoor,Shashi Tharoor,29373
fawadchaudhry,Ch Fawad Hussain,28253
yadavakhilesh,Akhilesh Yadav,28115
TheOnion,The Onion,26878
mvmeet,Mahesh Vikram Hegde,25469
RealJamesWoods,James Woods,24493
priyagupta999,Priya Gupta,23635
ashutosh83B,ashutosh,22882
Ram_Guha,Ramachandra Guha,21858
SrBachchan,Amitabh Bachchan,21856
KrisParonto,Kris Paronto,21600
KapilMishra_IND,Kapil Mishra,21473
RandPaul,Senator Rand Paul,20901
SAfridiOfficial,Shahid Afridi,20247
Sathnam,Sathnam Sanghera,20205
DrGPradhan,#GauravPradhan 🇮🇳,20204
TajinderBagga,Tajinder Pal Singh Bagga,19875
HamidMirPAK,Hamid Mir,19688
MichaelAvenatti,Michael Avenatti,19377
Gurmeetramrahim,"",19036