ScreenName,UserName,tweets
republic,Republic,101
bad_indian_girl,bad indian girl,87
latestly,LatestLY,65
mohitsmartlove,Mohit $marty....,64
satirist_indian,Jim,60
ndtv,NDTV,50
BT_India,Business Today,44
1Mdkhan,M.Danish Khan,41
EconomicTimes,EconomicTimes,39
TimesNow,TIMES NOW,38
IndianExpress,The Indian Express,38
IndiaTVHindi,India TV Hindi,37
INCIndia,Congress,37
ZeeNewsHindi,Zee News Hindi,37
LegalKant,रवि कांत,36
sharebossindia,ShareBoss.in,35
ANI,ANI,34
IndiaToday,India Today,34
GeorgekurianINC,George Kurian,33
IMA_Indian,IMA,33
RahulGandhi,Rahul Gandhi,33
Republic_Bharat,रिपब्लिक.भारत,29
aditya5bahl,INTOLERANT ADITYA,28
Rakesh0522,Rakesh Misra,26
narendramodi,Narendra Modi,25
vinish_ind,Vinish Vermani,25
Swamy39,Subramanian Swamy,25
varun18vijay,Varun Vijay,24
htTweets,Hindustan Times,24
geetv79,Geet V,24
sardesairajdeep,Rajdeep Sardesai,23
NH_India,National Herald,23
shankar2483,Shankar,22
LeadtechIndia,Leadtech,21
BhakthLokesh,ModifiedLokeshBhakth,21
HappaNarinder,Narinder Happa【नरेंन्द्र हप्पा】,21
M35215013,amod pathak,20
indian_politics,Blame It On Rio🐦,20
abpnewshindi,ABP न्यूज़ हिंदी,19
nuggettoffy,Vivek Gupta,19
NewsBossIndia,NewsBoss.in,19
Tharoorian_INC,INC-Tharoorian,19
ShashiTharoor,Shashi Tharoor,19
RitikaS96169115,Ritika Sharma,19
NEWS9TWEETS,NEWS9,19
bdnews24,#Bangladesh News 24 (#BreakingNews 24),19
ArvindKejriwal,Arvind Kejriwal,18
rajivnayan7,राजीव नयन🇮🇳,18
Sushant26936336,Sushant Patil,18
NationJai,JaiHindNationFirst,18