ScreenName,UserName,score
narendramodi,Narendra Modi,377.2984085
davidfrawleyved,Dr David Frawley,118.79649349999997
rsprasad,Ravi Shankar Prasad,113.41480349999999
INCIndia,Congress,105.01347999999999
ImaanZHazir,ایمان زینب,95.84594100000001
ZeeNewsHindi,Zee News Hindi,88.3540325
sagarikaghose,Sagarika Ghose,84.05491950000003
Republic_Bharat,रिपब्लिक.भारत,81.34623299999998
Public_Citizen,Public Citizen,78.218726
republic,Republic,70.76543299999999
abhijitmajumder,Abhijit Majumder,67.80575
LegalKant,रवि कांत,64.7592565
RahulGandhi,Rahul Gandhi,62.11098799999999
ManishTewari,Manish Tewari,60.447979999999994
padhalikha,Eminent Intellectual,56.88269749999999
bhaiyyajispeaks,Bhaiyyaji,50.03909249999999
Shehla_Rashid,Shehla Rashid,48.66388599999999
BJP4India,BJP,47.032829500000005
ShekharGupta,Shekhar Gupta,46.63723949999999
WrongDoc,Be'Havin!,46.079044499999995
Rohini_Swamy,Rohini Swamy,42.735076499999984
nitin_gadkari,Nitin Gadkari,38.541151
ZaidZamanHamid,Zaid Hamid,35.414545000000004
mvmeet,Mahesh Vikram Hegde,34.22909249999999
DilliDurAst,Shivam Vij,30.593472499999997
ArvindKejriwal,Arvind Kejriwal,28.714343499999995
SushantBSinha,Sushant Sinha,27.461401
ngogoi98,Neerja Gogoi,24.655789
arunjaitley,Arun Jaitley,24.508356499999998
RKRadhakrishn,RK,23.49734100000001
thewire_in,The Wire,23.334906
MoeedNj,Moeed Pirzada,23.214936999999995
RitaG74,Rita,21.097995
AsimAli6,Asim Ali,21.086282000000004
RSSorg,RSS,21.018332999999995
Reema_bjp,Reema Kaur Ahluwalia,20.88456
PMOIndia,PMO India,19.8740545
atahasnain53,Syed Ata Hasnain,19.064574
RWPUSA,Richard W. Painter,19.019999999999996
Swamy39,Subramanian Swamy,18.160191000000005
ConstantinoX,Constantino Xavier,16.6239095
AtishiAAP,Atishi,16.613989999999994
priyankac19,Priyanka Chaturvedi,16.3061625
EconomicTimes,EconomicTimes,16.296038999999993
RituRathaur,ऋतु राठौर (सत्यसाधक),16.109098499999998
msisodia,Manish Sisodia,16.10348
profwolff,Richard D. Wolff,14.542625000000001
effucktivehumor,Mikku🐼,14.453723499999999
ImranKhanPTI,Imran Khan,14.235758
svaradarajan,Siddharth,14.049471999999998