ScreenName,UserName,Tweets_Mentions
narendramodi,Narendra Modi,4176
davidfrawleyved,Dr David Frawley,1417
rsprasad,Ravi Shankar Prasad,1375
ManishTewari,Manish Tewari,1330
republic,Republic,1220
INCIndia,Congress,1101
sagarikaghose,Sagarika Ghose,1037
RahulGandhi,Rahul Gandhi,1020
ZeeNewsHindi,Zee News Hindi,984
LegalKant,रवि कांत,957
abhijitmajumder,Abhijit Majumder,883
ImaanZHazir,ایمان زینب,811
BJP4India,BJP,721
padhalikha,Eminent Intellectual,650
Public_Citizen,Public Citizen,617
Shehla_Rashid,Shehla Rashid,577
bhaiyyajispeaks,Bhaiyyaji,573
WrongDoc,Be'Havin!,484
ShekharGupta,Shekhar Gupta,463
mvmeet,Mahesh Vikram Hegde,461
ArvindKejriwal,Arvind Kejriwal,445
priyankac19,Priyanka Chaturvedi,427
PMOIndia,PMO India,422
arunjaitley,Arun Jaitley,397
Swamy39,Subramanian Swamy,384
ZaidZamanHamid,Zaid Hamid,377
Republic_Bharat,रिपब्लिक.भारत,366
thewire_in,The Wire,349
SushantBSinha,Sushant Sinha,341
DilliDurAst,Shivam Vij,315
svaradarajan,Siddharth,315
manojkjhadu,Manoj K Jha,306
Reema_bjp,Reema Kaur Ahluwalia,277
EconomicTimes,EconomicTimes,260
RitaG74,Rita,259
CNNnews18,News18,257
abpnewshindi,ABP न्यूज़ हिंदी,254
AtishiAAP,Atishi,241
RituRathaur,ऋतु राठौर (सत्यसाधक),226
nsitharaman,Nirmala Sitharaman,219
RKRadhakrishn,RK,212
MoeedNj,Moeed Pirzada,199
dineshgrao,Dinesh Gundu Rao,197
atahasnain53,Syed Ata Hasnain,188
TimesNow,TIMES NOW,185
ConstantinoX,Constantino Xavier,176
sambitswaraj,Sambit Patra,174
sankrant,Sankrant Sanu सानु,172
dhaval241086,ધવલ પટેલ,163
ImranKhanPTI,Imran Khan,163