ScreenName,UserName,Followers
narendramodi,Narendra Modi,2872
PMOIndia,PMO India,2603
Swamy39,Subramanian Swamy,2100
AmitShah,Amit Shah,2007
arunjaitley,Arun Jaitley,1996
SrBachchan,Amitabh Bachchan,1996
RahulGandhi,Rahul Gandhi,1959
SushmaSwaraj,Sushma Swaraj,1901
BJP4India,BJP,1891
smritiirani,Smriti Z Irani,1833
rajnathsingh,राजनाथ सिंह,1765
rashtrapatibhvn,President of India,1744
ArvindKejriwal,Arvind Kejriwal,1710
BarackObama,Barack Obama,1680
PiyushGoyal,Piyush Goyal,1653
AnupamPKher,Anupam Kher,1643
sachin_rt,Sachin Tendulkar,1627
realDonaldTrump,Donald J. Trump,1614
ANI,ANI,1613
virendersehwag,Virender Sehwag,1591
sardesairajdeep,Rajdeep Sardesai,1588
BDUTT,barkha dutt,1584
akshaykumar,Akshay Kumar,1574
sambitswaraj,Sambit Patra,1573
ndtv,NDTV,1567
ShashiTharoor,Shashi Tharoor,1564
imVkohli,Virat Kohli,1548
manoharparrikar,Manohar Parrikar,1538
timesofindia,Times of India,1515
myogiadityanath,Yogi Adityanath,1508
TimesNow,TIMES NOW,1498
thekiranbedi,Kiran Bedi,1471
nitin_gadkari,Nitin Gadkari,1450
sureshpprabhu,Suresh Prabhu,1412
INCIndia,Congress,1409
sudhirchaudhary,Sudhir Chaudhary,1391
sardanarohit,रोहित सरदाना,1390
chetan_bhagat,Chetan Bhagat,1370
iamsrk,Shah Rukh Khan,1365
TajinderBagga,Tajinder Pal Singh Bagga,1341
rsprasad,Ravi Shankar Prasad,1328
adgpi,ADG PI - INDIAN ARMY,1309
IndianExpress,The Indian Express,1288
the_hindu,The Hindu,1283
IndiaToday,India Today,1268
nsitharaman,Nirmala Sitharaman,1265
rahulkanwal,Rahul Kanwal,1233
TarekFatah,Tarek Fatah,1231
htTweets,Hindustan Times,1227
ChouhanShivraj,ShivrajSingh Chouhan,1219