UserName,total,ans
Ajaybhan9,2,3.0
ProudPinto79,2,4.0
EasyPeezyTweet,3,4.0
HalkatBong,2,4.0
FutureBack2the,4,5.0
Rooman_Z,2,5.0
tdpnanda,1,6.0
DrFraci,2,8.0
TheHinduBooks,1,8.0
RohanJa97142831,2,9.0
Atikaskhan99,4,9.0
fakhra_khattak,2,9.0
JagdeepChhokar,1,10.0
ramanswall,2,10.0
TheAtlantic,1,11.0
RoshanSdrprop,3,11.0
mumbai_pyc,1,11.0
umapolitics7779,2,12.0
Pappu_Gandi,1,12.0
ChennaiTdpForum,1,13.0
KiranJa41732853,3,14.0
DeccanHerald,3,14.0
RWPUSA,1,14.0
pranavINC,1,16.0
mickeyanoop,2,16.0
MrPoll8,1,16.0
TheHinduComment,2,17.0
avithelibran1,1,17.0
indsancoalition,1,17.0
MatiurDC,2,17.0
Indian007Rahim,1,18.0
pakwillwin,2,19.0
narendr987373,3,19.0
bobcesca_go,1,19.0
pakpmimrankhan,2,19.0
pranjal_dureja,2,19.0
demnindia,1,20.0
NaveedJM,1,20.0
Code_Interviews,4,20.0
TheLeaflet_in,1,20.0
profwolff,1,20.0
MYaskhi,1,21.0
dumbhakt,1,22.0
PalgharCongress,1,22.0
Doctor4353,2,22.0
dubejiINC,1,23.0
kaalakawaa,2,23.0
walia_keith,7,23.0
wef,1,24.0
hx4EAIqM0Rzb8dB,5,24.0